Company ID,TotalRev,ZipCode,NumEmployees,CallCycle,ContractType,OriginalSourceType,FirstConversion,Industry,MRR,LikelihoodToClose,Gauge,YearFounded,Strategic
527762471,"$3,600.00 ",1605,200,Yearly,SafetyNet Standard,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,Construction,700,,Red,,No
527430760,"$25,200.00 ",29456,200,Yearly,SafetyNet MTM,Offline Sources,The Complete Safety Checklist [eBook]: Download Your eBook,,600,15.55,Red,,No
527714601,"$184,840.00 ",77380,5000,Half Year,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Oil & Energy,1890,17.3,Green - Flat,2003,No
527430789,"$56,000.00 ",79118,10,Yearly,SafetyNet Standard,Offline Sources,,,700,,Green,,No
527742098,"$192,500.00 ",20850,500,Yearly,SafetyNet Evergreen,Offline Sources,SmartWork | Request a Demo: Request a Demo SmartWork,Construction,3100,,Green,1988,No
527714579,"$10,200.00 ",47203,10,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,200,,Green,,No
527476745,"$25,200.00 ",32202,5000,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,2100,,Green,1965,No
527743483,"$21,600.00 ",11803,,Yearly,SafetyNet Standard,Offline Sources,,,980,1.05,Yellow,,No
527430777,"$7,200.00 ",11101,200,Yearly,SafetyNet Standard,Paid Search,Request a Demo | Predictive Solutions: Request a Demo Paid,Real Estate,532,0.76,Yellow,2003,No
924514851,"$13,520.00 ",85040,1000,,CANCELLED,Paid Search,Demo Request - Predictive Solutions: Request A Demo,Construction,720,6.13,Green,1991,No
527714666,"$4,800.00 ",83455,50,Yearly,SafetyNet MTM,Offline Sources,,Construction,1233.33,39.68,Yellow,2003,No
527770300,"$44,575.20 ",75082,500,Half Year,SafetyNet Standard,Offline Sources,,Construction,1520,34.03,Green - Increase,1968,No
527714578,"$505,538.00 ",46240,500,Quarterly,SafetyNet Standard,Direct Traffic,Case Study: Southern Company - Predictive Solutions: CS - Southern Company,Management Consulting,6964,33.5,Green,1991,Yes
527714577,"$16,800.00 ",8625,500,Yearly,SafetyNet Evergreen,Offline Sources,,,700,25.92,Green,,No
527430725,"$28,800.00 ",6810,10000,Yearly,SafetyNet Standard,Offline Sources,Demo Request - Predictive Solutions: Request A Demo,Chemicals,1200,17.77,Green,1907,No
527427113,,22042,1000,Half Year,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Construction,2300,6.32,Green,1937,No
527481508,"$358,800.00 ",,,Quarterly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper,Aviation & Aerospace,9433.35,15.72,Yellow,1942,Yes
527430712,"$9,900.00 ",30339,1000,Yearly,SafetyNet MTM,Direct Traffic,Free Trial - Predictive Solutions: Free Trial - PREDICT & ACT ON RISK IN THE WORKPLACE,Construction,3300,,Red,1984,No
527430721,"$446,880.00 ",15222,10000,Yearly,SafetyNet Evergreen,Offline Sources,SmartWork | Request a Demo: Request a Demo SmartWork,Mining & Metals,18620,39.37,Red,1996,Yes
527430751,"$90,266.40 ",2109,10000,Quarterly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Civil Engineering,2507.33,,Green,1947,No
527714584,"$323,640.00 ",10041,500,Half Year,SafetyNet Standard,Offline Sources,SmartWork | Request a Demo: Request a Demo SmartWork,Construction,5480,2.32,Green,2005,Yes
527427027,,60180,1000,Quarterly,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Construction,4656,39.8,Green,1988,Yes
527474980,"$18,240.00 ",19120,5000,Half Year,SafetyNet Standard,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,Construction,1816,39.8,Green,1920,No
