Company ID,TotalRev,ZipCode,NumEmployees,CallCycle,ContractType,OriginalSourceType,FirstConversion,Industry,MRR,LikelihoodToClose,Gauge,YearFounded,Strategic
527714640,"$43,200.00 ",2119,5000,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,1800,2.09,Red,1982,No
527430706,"$5,000.00 ",77073,1000,Yearly,SafetyNet Evergreen,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,Construction,417,39.37,Green,1980,No
527714572,,77060,500,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,1500,2.07,Green,1909,No
527713082,,54911,5000,Quarterly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper,Construction,5520,2.12,Green,1889,Yes
527713105,$850.00 ,60467,500,Yearly,SafetyNet MTM,Offline Sources,Contact Predictive Solutions - Work Place Safety Experts: Contact Sales,Insurance,850,,Green,1971,No
527427198,"$298,480.00 ",84604,10000,Monthly,SafetyNet Standard,Organic Search,Free Trial - Predictive Solutions: Free Trial - PREDICT & ACT ON RISK IN THE WORKPLACE,,7880,45.95,Green,1999,Yes
527770251,"$326,010.00 ",75006,5000,Quarterly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,4600,2.26,Yellow,1952,Yes
527742932,"$219,580.00 ",91203,10000,Half Year,SafetyNet MTM,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Food Production,2452.5,19.92,Red,1866,No
527427172,"$16,800.00 ",45202,10000,,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper - Making the Case for Predictive Analytics,Consumer Goods,,1.38,,1837,Yes
527430697,"$90,316.80 ",70501,500,Half Year,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,2188.8,15.72,Green,1975,No
527430756,"$39,000.00 ",11791,1000,Yearly,SafetyNet Standard,Offline Sources,7 Leading Indicators to Drive Safety Improvement: Leading Indicator | Whitepaper Download,Construction,383.33,,Yellow,1983,No
527713101,,40299,1000,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,,2223,,Yellow,1987,No
527714620,"$59,220.00 ",7094,200,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,976.67,,Yellow,2003,No
527427141,"$480,000.00 ",10014,10000,Monthly,SafetyNet MTM,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,20000,54.19,Green - Flat,1902,Yes
527427120,"$214,958.75 ",55440,10000,,,Organic Search,Making the Case for Predictive Analytics in Workplace Safety: WP - Making the Case Whitepaper,Food Production,,22.72,,1865,
527430715,"$36,636.00 ",91342,1000,Yearly,SafetyNet Standard,Offline Sources,,Construction,951,,Yellow,1894,No
527477602,,98275,500,Yearly,SafetyNet MTM,Offline Sources,,Construction,400,,Green,1920,No
527714566,"$10,560.00 ",33411,5000,Yearly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,440,1.02,Green - Increase,1900,No
527714630,"$18,400.00 ",98134,200,Yearly,SafetyNet MTM,Offline Sources,Contact Predictive Solutions - Work Place Safety Experts: Contact Sales,Construction,200,,Red,2010,No
878761798,"$40,320.00 ",20705,1000,Monthly,SafetyNet Standard,Organic Search,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper - Making the Case for Predictive Analytics,Construction,720,6.96,Green,1984,No
527427055,"$108,840.00 ",11735,500,Yearly,SafetyNet Standard,Offline Sources,,Environmental Services,3240,,Green,1946,No
527713096,"$30,000.00 ",2596HR,10000,,,Offline Sources,Free Trial - Predictive Solutions: Free Trial - PREDICT & ACT ON RISK IN THE WORKPLACE,Oil & Energy,,1.84,,1912,
528347577,"$12,800.00 ",85705,500,Yearly,SafetyNet Evergreen,Offline Sources,Request a Demo | Predictive Solutions: Request a Demo Paid,Construction,500,,Yellow,1925,No
527476889,"$51,494.00 ",84104,200,Yearly,SafetyNet MTM,Offline Sources,,Construction,806,,Green,1919,No
527427012,,55484,10000,Quarterly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Utilities,12497,4.3,Green,2000,Yes
527714582,"$63,360.00 ",39350,1000,Yearly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,1760,,Green,1963,No
527422017,,77079,10000,,,Organic Search,Making the Case for Predictive Analytics in Workplace Safety: WP - Making the Case Whitepaper,Oil & Energy,,39.37,,1909,
510500236,"$1,771,600.00 ",95899,10000,Monthly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Utilities,26667.67,2.14,Green,1905,Yes
207,,,,,,,,,,,,,
0%,31%,18%,20%,17%,9%,12%,40%,25%,15%,54%,18%,24%,14%
