Close Date,First Deal Created Date,Last Call Cycle Date,Time of Last Session,churn
9/19/2019 16:27,5/15/2019 17:17,9/19/2019,5/10/2019 15:48,0
3/19/2019 10:59,,9/4/2019,4/27/2018 9:30,0
2/1/2019 11:59,,9/3/2019,,1
12/5/2018 10:07,1/22/2019 10:17,9/4/2019,8/15/2018 11:01,0
10/30/2018 8:21,10/26/2018 14:17,7/29/2019,,0
11/1/2018 9:08,10/5/2018 10:26,,10/3/2018 8:29,0
10/18/2018 13:29,9/20/2018 12:50,3/20/2019,9/18/2018 10:46,1
10/15/2018 8:38,8/21/2018 12:52,8/20/2019,10/30/2019 7:01,0
8/14/2018 8:41,7/25/2018 10:11,3/1/2019,,0
4/5/2019 9:43,4/20/2018 10:30,,4/20/2018 9:57,0
3/28/2018 17:58,3/6/2018 3:00,,,0
5/31/2018 15:12,5/11/2018 9:24,4/30/2019,,0
6/26/2018 13:20,7/21/2017 0:00,7/19/2018,2/8/2018 8:26,1
2/6/2018 8:41,5/15/2017 0:00,,,0
2/15/2018 16:01,9/6/2017 0:00,2/6/2019,7/24/2018 5:43,0
6/7/2019 10:05,8/15/2018 15:54,6/7/2019,5/9/2019 13:19,1
2/2/2018 10:15,2/2/2018 0:00,,,1
8/24/2017 16:40,,6/20/2019,,0
12/21/2017 11:22,3/10/2017 0:00,2/21/2019,9/23/2019 15:02,0
10/15/2018 12:23,8/16/2018 16:11,7/29/2019,4/11/2019 9:24,0
8/6/2018 15:10,11/30/2017 0:00,2/21/2019,11/15/2018 17:44,0
10/25/2017 19:31,,,,0
10/27/2017 14:30,10/11/2017 1:00,,8/7/2018 5:56,0
9/14/2017 9:32,11/22/2016 0:00,6/20/2019,8/24/2018 9:55,0
8/24/2017 16:40,5/10/2017 0:00,1/17/2019,,1
8/24/2017 16:40,5/11/2017 0:00,7/2/2019,7/17/2018 10:39,0
8/24/2017 16:40,1/26/2017 0:00,8/22/2018,7/25/2018 12:53,0
11/20/2018 13:18,5/9/2017 0:00,11/1/2019,5/6/2019 12:30,0
8/24/2017 16:40,11/3/2016 0:00,2/28/2019,7/24/2018 7:55,0
8/24/2017 16:40,7/12/2012 0:00,12/5/2018,4/30/2019 14:33,0
8/24/2017 16:40,5/10/2017 0:00,3/6/2018,9/20/2018 12:04,0
6/29/2018 18:34,6/29/2018 15:44,9/6/2019,1/30/2019 14:15,0
8/24/2017 18:12,,9/9/2019,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
9/26/2018 0:00,,2/18/2019,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,,,,0
10/26/2017 8:23,3/13/2018 3:00,11/14/2018,8/6/2018 14:08,0
8/24/2017 18:12,,,,0
8/24/2017 18:12,5/11/2017 0:00,,,1
8/24/2017 18:12,2/23/2018 0:00,1/3/2019,,0
8/24/2017 16:40,2/28/2017 0:00,4/27/2018,,0
8/24/2017 18:12,7/17/2019 15:18,8/30/2018,,0
8/24/2017 18:12,,,,1
8/24/2017 16:40,,2/19/2019,11/21/2018 8:15,0
8/24/2017 16:40,,,,1
8/24/2017 18:12,,1/4/2019,,0
10/25/2017 19:32,,,,1
8/24/2017 16:40,,,,1
8/24/2017 16:40,2/7/2017 0:00,,,1
8/24/2017 16:40,5/11/2017 0:00,6/3/2019,9/24/2019 9:58,0
8/24/2017 16:40,2/16/2017 0:00,10/31/2018,3/15/2018 10:11,0
10/26/2017 8:23,2/7/2017 0:00,,,1
8/24/2017 16:40,10/10/2014 0:00,2/25/2019,,0
6/13/2018 17:29,4/3/2017 0:00,,,1
8/24/2017 16:40,3/29/2017 0:00,,3/27/2018 9:03,1
8/24/2017 16:40,5/8/2017 0:00,1/29/2019,,0
8/24/2017 16:40,,,,1
8/24/2017 16:40,2/16/2017 0:00,12/6/2018,5/2/2018 18:11,0
8/24/2017 16:40,5/11/2017 0:00,11/14/2018,,0
