"","churn","usecompetitors","sessions","FF","strategic","callcycle_Every.Other.Month","callcycle_Half.Year","callcycle_Monthly","callcycle_None","callcycle_Quarterly","callcycle_Yearly","Close.Date","First.Deal.Created.Date","Last.Call.Cycle.Date","Time.of.Last.Session","days_live"
"226",0,0,63,1,0,0,0,0,0,0,1,"8/24/2017 16:40","1/26/2017 0:00","5/16/2019","10/9/2019 10:38",1119
"227",0,0,13,1,0,0,1,0,0,0,0,"8/24/2017 16:40","2/7/2017 0:00","9/6/2019","11/4/2019 10:32",1107
"228",0,1,879,1,1,0,0,1,0,0,0,"8/24/2017 16:40","3/2/2017 0:00","11/1/2019","11/15/2019 12:32",1084
"229",0,0,22,1,0,0,1,0,0,0,0,"8/24/2017 16:40","5/9/2017 0:00","9/5/2019","10/14/2019 7:04",1016
"230",0,0,153,1,0,0,0,0,0,1,0,"8/24/2017 16:40","2/16/2017 0:00","10/25/2019","11/15/2019 13:58",1098
"231",0,0,1,1,0,0,0,0,0,0,1,"8/24/2017 16:40","3/2/2017 0:00","4/15/2019","6/12/2019 17:28",1084
"232",0,1,215,1,1,0,0,1,0,0,0,"8/24/2017 16:40","12/15/2016 0:00","9/4/2019","10/30/2019 17:59",1161
"233",0,0,511,1,0,0,0,0,0,1,0,"8/24/2017 16:40","5/2/2017 0:00","6/21/2019","11/15/2019 10:36",1023
"234",0,1,247,1,1,0,0,0,0,1,0,"8/24/2017 16:40","3/3/2017 0:00","9/10/2018","10/30/2019 9:41",1083
"235",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","7/8/2016 0:00","2/6/2019","",1321
"236",0,1,154,1,1,0,0,0,0,1,0,"8/24/2017 16:40","2/22/2019 14:13","7/26/2019","11/21/2018 9:16",909
"237",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/7/2017 0:00","9/12/2019","",1107
"238",0,0,21,1,1,0,0,0,0,1,0,"8/24/2017 16:40","9/18/2019 12:32","8/7/2019","10/4/2019 15:35",909
"239",1,0,0,0,0,0,0,0,1,0,0,"10/24/2017 9:44","","","",NA
"240",0,0,158,1,1,0,0,0,0,1,0,"8/24/2017 16:40","4/13/2017 0:00","7/25/2019","11/11/2019 9:00",1042
"241",1,0,2,1,0,0,0,0,1,0,0,"8/24/2017 16:40","","","4/26/2019 16:39",610
"242",0,1,89,1,1,0,0,1,0,0,0,"8/24/2017 16:40","11/8/2017 3:00","8/26/2019","9/15/2019 10:32",909
